REF_DATE,GEO,DGUID,Age (15C),Gender (3),Statistics (2),Coordinate,Visible minority (15):Total - Visible minority[1],Symbol,Visible minority (15):Total visible minority population[2],Symbol,Visible minority (15):South Asian[3],Symbol,Visible minority (15):Chinese[4],Symbol,Visible minority (15):Black[5],Symbol,Visible minority (15):Filipino[6],Symbol,Visible minority (15):Arab[7],Symbol,Visible minority (15):Latin American[8],Symbol,Visible minority (15):Southeast Asian[9],Symbol,Visible minority (15):West Asian[10],Symbol,Visible minority (15):Korean[11],Symbol,Visible minority (15):Japanese[12],Symbol,"Visible minority (15):Visible minority, n.i.e.[13]",Symbol,Visible minority (15):Multiple visible minorities[14],Symbol,Visible minority (15):Not a visible minority[15],Symbol
2021,Canada,2021A000011124,45 to 54 years,Men+,2021 Counts,1.11.2.1,2264460,,586950,,146655,,106000,,90365,,60805,,49290,,41820,,22930,,24805,,13695,,5110,,10960,,14520,,1677505,
2021,Canada,2021A000011124,45 to 54 years,Men+,% distribution (2021),1.11.2.2,6.2,,1.6,,0.4,,0.3,,0.2,,0.2,,0.1,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,4.6,
2021,Canada,2021A000011124,45 to 54 years,Women+,2021 Counts,1.11.3.1,2370385,,661170,,142920,,137910,,93235,,87645,,40925,,44820,,30080,,24475,,19885,,10145,,12625,,16505,,1709220,
2021,Canada,2021A000011124,45 to 54 years,Women+,% distribution (2021),1.11.3.2,6.5,,1.8,,0.4,,0.4,,0.3,,0.2,,0.1,,0.1,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,4.7,
2021,Canada,2021A000011124,55 to 64 years,Total - Gender,2021 Counts,1.12.1.1,5162365,,953290,,208580,,235165,,123160,,103230,,54400,,59125,,49290,,38495,,24600,,10410,,21105,,25720,,4209075,
2021,Canada,2021A000011124,55 to 64 years,Total - Gender,% distribution (2021),1.12.1.2,14.2,,2.6,,0.6,,0.6,,0.3,,0.3,,0.1,,0.2,,0.1,,0.1,,0.1,,0.0,,0.1,,0.1,,11.6,
2021,Canada,2021A000011124,55 to 64 years,Men+,2021 Counts,1.12.2.1,2518590,,457005,,106885,,109115,,59735,,40870,,30500,,27760,,24360,,20515,,10705,,4455,,9895,,12210,,2061585,
2021,Canada,2021A000011124,55 to 64 years,Men+,% distribution (2021),1.12.2.2,6.9,,1.3,,0.3,,0.3,,0.2,,0.1,,0.1,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,5.7,
2021,Canada,2021A000011124,55 to 64 years,Women+,2021 Counts,1.12.3.1,2643770,,496285,,101690,,126055,,63425,,62360,,23900,,31365,,24930,,17985,,13900,,5950,,11210,,13515,,2147490,
2021,Canada,2021A000011124,55 to 64 years,Women+,% distribution (2021),1.12.3.2,7.3,,1.4,,0.3,,0.3,,0.2,,0.2,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,5.9,
2021,Canada,2021A000011124,65 years and over,Total - Gender,2021 Counts,1.13.1.1,6586600,,956345,,250475,,269065,,115015,,78295,,41950,,48220,,38520,,33090,,21895,,15525,,21010,,23295,,5630260,
2021,Canada,2021A000011124,65 years and over,Total - Gender,% distribution (2021),1.13.1.2,18.1,,2.6,,0.7,,0.7,,0.3,,0.2,,0.1,,0.1,,0.1,,0.1,,0.1,,0.0,,0.1,,0.1,,15.5,
2021,Canada,2021A000011124,65 years and over,Men+,2021 Counts,1.13.2.1,3079765,,439840,,123190,,124275,,50085,,27425,,22790,,20655,,17540,,17120,,10480,,6940,,8995,,10355,,2639925,
2021,Canada,2021A000011124,65 years and over,Men+,% distribution (2021),1.13.2.2,8.5,,1.2,,0.3,,0.3,,0.1,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,7.3,
2021,Canada,2021A000011124,65 years and over,Women+,2021 Counts,1.13.3.1,3506835,,516505,,127280,,144785,,64935,,50870,,19165,,27565,,20975,,15975,,11420,,8585,,12015,,12940,,2990335,
2021,Canada,2021A000011124,65 years and over,Women+,% distribution (2021),1.13.3.2,9.7,,1.4,,0.4,,0.4,,0.2,,0.1,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,8.2,
2021,Canada,2021A000011124,65 to 74 years,Total - Gender,2021 Counts,1.14.1.1,3991130,,601535,,154860,,166090,,70440,,52090,,27385,,32805,,26365,,22105,,13150,,7990,,13330,,14920,,3389595,
2021,Canada,2021A000011124,65 to 74 years,Total - Gender,% distribution (2021),1.14.1.2,11.0,,1.7,,0.4,,0.5,,0.2,,0.1,,0.1,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,9.3,
2021,Canada,2021A000011124,65 to 74 years,Men+,2021 Counts,1.14.2.1,1910780,,280215,,75960,,77475,,31775,,19015,,15170,,14475,,12325,,11495,,6130,,3700,,5815,,6895,,1630560,
2021,Canada,2021A000011124,65 to 74 years,Men+,% distribution (2021),1.14.2.2,5.3,,0.8,,0.2,,0.2,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.5,
2021,Canada,2021A000011124,65 to 74 years,Women+,2021 Counts,1.14.3.1,2080350,,321315,,78900,,88615,,38665,,33080,,12210,,18330,,14045,,10610,,7025,,4295,,7520,,8030,,1759030,
2021,Canada,2021A000011124,65 to 74 years,Women+,% distribution (2021),1.14.3.2,5.7,,0.9,,0.2,,0.2,,0.1,,0.1,,0.0,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.8,
2021,Canada,2021A000011124,75 years and over,Total - Gender,2021 Counts,1.15.1.1,2595470,,354805,,95615,,102970,,44575,,26200,,14565,,15415,,12155,,10980,,8750,,7530,,7675,,8380,,2240660,
2021,Canada,2021A000011124,75 years and over,Total - Gender,% distribution (2021),1.15.1.2,7.1,,1.0,,0.3,,0.3,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.2,
2021,Canada,2021A000011124,75 years and over,Men+,2021 Counts,1.15.2.1,1168980,,159620,,47230,,46800,,18305,,8415,,7615,,6180,,5220,,5620,,4350,,3240,,3180,,3465,,1009365,
2021,Canada,2021A000011124,75 years and over,Men+,% distribution (2021),1.15.2.2,3.2,,0.4,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.8,
2021,Canada,2021A000011124,75 years and over,Women+,2021 Counts,1.15.3.1,1426485,,195190,,48385,,56170,,26270,,17785,,6950,,9230,,6935,,5365,,4395,,4290,,4500,,4915,,1231300,
2021,Canada,2021A000011124,75 years and over,Women+,% distribution (2021),1.15.3.2,3.9,,0.5,,0.1,,0.2,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.4,
2021,Newfoundland and Labrador,2021A000210,Total - Age,Total - Gender,2021 Counts,2.1.1.1,502100,,16855,,4550,,2000,,3590,,2265,,1745,,750,,510,,550,,220,,80,,205,,400,,485245,
2021,Newfoundland and Labrador,2021A000210,Total - Age,Total - Gender,% distribution (2021),2.1.1.2,1.4,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.3,
2021,Newfoundland and Labrador,2021A000210,Total - Age,Men+,2021 Counts,2.1.2.1,246190,,8805,,2575,,1020,,1930,,995,,1040,,360,,235,,265,,80,,30,,105,,175,,237390,
2021,Newfoundland and Labrador,2021A000210,Total - Age,Men+,% distribution (2021),2.1.2.2,0.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.7,
2021,Newfoundland and Labrador,2021A000210,Total - Age,Women+,2021 Counts,2.1.3.1,255910,,8050,,1970,,985,,1660,,1270,,700,,395,,270,,285,,140,,50,,100,,220,,247855,
2021,Newfoundland and Labrador,2021A000210,Total - Age,Women+,% distribution (2021),2.1.3.2,0.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.7,
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,Total - Gender,2021 Counts,2.2.1.1,68140,,3870,,735,,350,,950,,550,,680,,110,,120,,115,,65,,0,,85,,105,,64270,
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,Total - Gender,% distribution (2021),2.2.1.2,0.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.2,
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,Men+,2021 Counts,2.2.2.1,35010,,2040,,335,,195,,535,,275,,375,,85,,50,,55,,35,,0,,45,,55,,32970,
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,Men+,% distribution (2021),2.2.2.2,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1,
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,Women+,2021 Counts,2.2.3.1,33135,,1830,,400,,150,,415,,280,,305,,30,,75,,55,,35,,0,,35,,50,,31305,
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,Women+,% distribution (2021),2.2.3.2,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1,
2021,Newfoundland and Labrador,2021A000210,15 years and over,Total - Gender,2021 Counts,2.3.1.1,433955,,12990,,3810,,1655,,2640,,1715,,1060,,640,,390,,435,,155,,75,,115,,290,,420970,
2021,Newfoundland and Labrador,2021A000210,15 years and over,Total - Gender,% distribution (2021),2.3.1.2,1.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.2,
2021,Newfoundland and Labrador,2021A000210,15 years and over,Men+,2021 Counts,2.3.2.1,211180,,6760,,2240,,825,,1395,,720,,660,,275,,190,,205,,45,,30,,55,,120,,204415,
2021,Newfoundland and Labrador,2021A000210,15 years and over,Men+,% distribution (2021),2.3.2.2,0.6,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.6,
2021,Newfoundland and Labrador,2021A000210,15 years and over,Women+,2021 Counts,2.3.3.1,222780,,6225,,1575,,830,,1245,,990,,400,,365,,200,,230,,105,,45,,60,,170,,216550,
2021,Newfoundland and Labrador,2021A000210,15 years and over,Women+,% distribution (2021),2.3.3.2,0.6,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.6,
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,Total - Gender,2021 Counts,2.4.1.1,51430,,3515,,1380,,340,,885,,270,,260,,110,,110,,20,,35,,0,,30,,85,,47910,
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,Total - Gender,% distribution (2021),2.4.1.2,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1,
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,Men+,2021 Counts,2.4.2.1,26775,,2055,,905,,165,,460,,140,,190,,60,,50,,10,,20,,0,,25,,30,,24720,
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,Men+,% distribution (2021),2.4.2.2,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1,
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,Women+,2021 Counts,2.4.3.1,24650,,1460,,475,,170,,425,,130,,70,,45,,60,,10,,15,,0,,0,,55,,23190,
