REF_DATE,GEO,DGUID,Age (13B),Knowledge of official languages (5),Coordinate,Statistics (6A):2021 Counts[1],Symbol,Statistics (6A):% distribution (2021)[2],Symbol,Statistics (6A):% change (2016 to 2021)[3],Symbol,Statistics (6A):% change (2011 to 2021)[4],Symbol,Statistics (6A):2016 Counts[5],Symbol,Statistics (6A):2011 Counts[6],Symbol
2021,Newfoundland and Labrador,2021A000210,65 to 74 years,English and French,2.12.4,1175,,1.6,,23.0,,62.1,,955,,725,
2021,Newfoundland and Labrador,2021A000210,65 to 74 years,Neither English nor French,2.12.5,75,,0.1,,50.0,,25.0,,50,,60,
2021,Newfoundland and Labrador,2021A000210,75 years and over,Total - Knowledge of official languages,2.13.1,42640,,100.0,,22.6,,41.5,,34770,,30130,
2021,Newfoundland and Labrador,2021A000210,75 years and over,English only,2.13.2,42060,,98.6,,22.5,,41.5,,34330,,29725,
2021,Newfoundland and Labrador,2021A000210,75 years and over,French only,2.13.3,5,,0.0,,0,...,-50.0,,0,,10,
2021,Newfoundland and Labrador,2021A000210,75 years and over,English and French,2.13.4,535,,1.3,,44.6,,59.7,,370,,335,
2021,Newfoundland and Labrador,2021A000210,75 years and over,Neither English nor French,2.13.5,35,,0.1,,-41.7,,-41.7,,60,,60,
2021,Prince Edward Island,2021A000211,Total - Age,Total - Knowledge of official languages,3.1.1,152455,,100.0,,8.1,,10.1,,141020,,138435,
2021,Prince Edward Island,2021A000211,Total - Age,English only,3.1.2,131465,,86.2,,7.9,,9.0,,121815,,120585,
2021,Prince Edward Island,2021A000211,Total - Age,French only,3.1.3,135,,0.1,,17.4,,3.8,,115,,130,
2021,Prince Edward Island,2021A000211,Total - Age,English and French,3.1.4,19380,,12.7,,8.7,,14.0,,17835,,17005,
2021,Prince Edward Island,2021A000211,Total - Age,Neither English nor French,3.1.5,1475,,1.0,,18.0,,106.3,,1250,,715,
2021,Prince Edward Island,2021A000211,0 to 14 years,Total - Knowledge of official languages,3.2.1,23630,,100.0,,4.3,,2.5,,22665,,23050,
2021,Prince Edward Island,2021A000211,0 to 14 years,English only,3.2.2,19065,,80.7,,3.1,,-1.3,,18490,,19320,
2021,Prince Edward Island,2021A000211,0 to 14 years,French only,3.2.3,55,,0.2,,0.0,,-26.7,,55,,75,
2021,Prince Edward Island,2021A000211,0 to 14 years,English and French,3.2.4,4215,,17.8,,10.3,,20.3,,3820,,3505,
2021,Prince Edward Island,2021A000211,0 to 14 years,Neither English nor French,3.2.5,290,,1.2,,-4.9,,100.0,,305,,145,
